,customer_id,gender,age,payment_method
0,C241288,Female,28.0,Credit Card
1,C111565,Male,21.0,Debit Card
2,C266599,Male,20.0,Cash
3,C988172,Female,66.0,Credit Card
4,C189076,Female,53.0,Cash
5,C657758,Female,28.0,Credit Card
6,C151197,Female,49.0,Cash
7,C176086,Female,32.0,Credit Card
8,C159642,Male,69.0,Credit Card
9,C283361,Female,60.0,Credit Card
10,C240286,Female,36.0,Cash
11,C191708,Female,29.0,Credit Card
12,C225330,Female,67.0,Debit Card
13,C312861,Male,25.0,Cash
14,C555402,Female,67.0,Credit Card
15,C362288,Male,24.0,Credit Card
16,C300786,Male,65.0,Debit Card
17,C330667,Female,42.0,Credit Card
18,C218149,Female,46.0,Cash
19,C196845,Male,24.0,Cash
20,C220180,Male,23.0,Credit Card
21,C125696,Female,27.0,Cash
22,C322947,Male,52.0,Credit Card
23,C313348,Male,44.0,Cash
24,C204553,Female,42.0,Cash
25,C285161,Male,51.0,Debit Card
26,C289625,Female,25.0,Credit Card
27,C192344,Male,50.0,Cash
28,C447138,Female,65.0,Cash
29,C251229,Male,29.0,Credit Card
30,C159164,Female,66.0,Debit Card
31,C501658,Male,23.0,Credit Card
32,C176727,Female,32.0,Credit Card
33,C232624,Male,51.0,Debit Card
34,C164092,Female,66.0,Credit Card
35,C276887,Male,68.0,Credit Card
36,C245456,Male,43.0,Credit Card
37,C450287,Female,59.0,Credit Card
38,C204279,Male,54.0,Cash
39,C452806,Male,24.0,Cash
40,C716788,Female,49.0,Cash
41,C155059,Male,67.0,Credit Card
42,C306662,Female,48.0,Cash
43,C607615,Female,40.0,Cash
44,C120164,Female,41.0,Credit Card
45,C134449,Male,46.0,Credit Card
46,C317818,Female,19.0,Credit Card
47,C241642,Female,43.0,Debit Card
48,C126436,Male,18.0,Debit Card
49,C653385,Female,22.0,Debit Card
50,C227070,Female,61.0,Cash
51,C317478,Female,41.0,Cash
52,C237330,Female,53.0,Credit Card
53,C626042,Female,43.0,Cash
54,C133687,Female,45.0,Debit Card
55,C841663,Female,29.0,Cash
56,C213742,Male,43.0,Cash
57,C962515,Female,19.0,Credit Card
58,C112279,Female,67.0,Cash
59,C158837,Female,36.0,Cash
60,C336576,Male,64.0,Credit Card
61,C716161,Female,33.0,Debit Card
62,C439382,Female,33.0,Credit Card
63,C123427,Male,66.0,Cash
64,C224743,Female,29.0,Debit Card
65,C119549,Male,22.0,Cash
66,C187266,Female,63.0,Cash
67,C173084,Female,24.0,Debit Card
68,C126956,Female,24.0,Cash
69,C236859,Female,44.0,Credit Card
